winner,loser,degree,expert
6062,6094,1,KI
6094,5118,1,KI
6025,6068,1,KI
7136,7045,1,KI
5087,7163,3,KI
6086,7064,3,KI
4035,5118,3,KI
7153,7060,1,KI
4035,7109,2,KI
5087,6096,2,KI
4035,6086,2,KI
4026,7136,2,KI
7116,6029,3,KI
7114,7153,1,KI
6088,6029,3,KI
7064,7060,0,KI
6062,5118,1,KI
6062,6092,1,KI
4035,4008,2,KI
6086,8083,2,KI
6062,8083,1,KI
7045,7128,0,KI
6062,7060,2,KI
7116,7153,3,KI
5064,8083,0,KI
4008,7109,2,KI
7045,7153,0,KI
4026,5118,3,KI
6068,7064,0,KI
5087,8083,3,KI
6053,7163,0,KI
6046,8083,0,KI
7064,5118,1,KI
7138,4008,0,KI
6062,7153,0,KI
6088,7109,2,KI
6062,5064,0,KI
6086,6096,1,KI
6086,6025,2,KI
7163,6029,1,KI
7136,6046,1,KI
4026,7128,1,KI
6095,7045,3,KI
6029,5064,0,KI
7116,4026,1,KI
6094,7163,0,KI
6095,7060,3,KI
6096,7109,0,KI
6094,7060,1,KI
7114,7109,1,KI
6095,6029,2,KI
7045,6053,0,KI
4035,7138,2,KI
7138,7060,0,KI
6095,6068,1,KI
6088,6094,2,KI
4026,6096,2,KI
6092,7060,0,KI
7136,6029,1,KI
7153,5118,1,KI
6068,5064,1,KI
6095,6092,2,KI
7136,7163,0,KI
5118,7163,0,KI
7114,7060,1,KI
6086,6046,2,KI
6025,5064,3,KI
7109,6092,0,KI
6025,7153,1,KI
6088,7064,3,KI
5087,7128,2,KI
6062,6025,0,KI
7114,6029,2,KI
6046,7064,0,KI
7064,7136,0,KI
4026,8083,2,KI
5087,7138,3,KI
7045,7060,0,KI
8083,5118,1,KI
6068,7060,0,KI
4008,6029,2,KI
6088,6062,2,KI
6088,7136,3,KI
4026,6092,2,KI
6096,5118,1,KI
7064,8083,0,KI
7116,7064,2,KI
6095,7109,1,KI
6046,7114,0,KI
7116,6094,2,KI
6086,7138,2,KI
6062,7163,2,KI
7060,5064,1,KI
6025,7060,0,KI
5087,6095,0,KI
6053,7153,1,KI
6046,6092,0,KI
6053,6046,1,KI
8083,7128,1,KI
6046,7163,1,KI
4035,6062,2,KI
7114,7163,0,KI
7116,6025,2,KI
7153,5064,1,KI
5087,6086,1,KI
4035,5064,3,KI
7153,7163,1,KI
7163,7060,0,KI
4035,8083,3,KI
7138,6094,0,KI
6062,4026,0,KI
4008,8083,1,KI
6068,7116,0,KI
6095,6053,1,KI
6096,8083,0,KI
7045,6092,0,KI
6029,7064,0,KI
6086,7114,0,KI
5087,7060,3,KI
4008,6094,2,KI
6088,7128,3,KI
6095,7163,2,KI
7116,7109,3,KI
6096,7114,0,KI
6053,7064,1,KI
7116,6092,3,KI
6086,7128,2,KI
7128,7064,1,KI
6095,5064,2,KI
7114,7128,2,KI
6095,7064,3,KI
7136,6094,0,KI
7138,6092,0,KI
4026,7109,2,KI
7153,7064,1,KI
5064,6092,0,KI
6062,6046,1,KI
6053,7114,0,KI
6046,7138,0,KI
7138,7163,1,KI
7116,4008,2,KI
6088,5064,3,KI
6095,6062,0,KI
6086,7153,2,KI
7109,7163,0,KI
6062,7136,1,KI
7064,5064,0,KI
7128,5064,1,KI
6062,7128,1,KI
6025,6096,1,KI
4026,6068,1,KI
7116,7045,3,KI
7109,6046,1,KI
6086,5118,3,KI
6068,6096,0,KI
4008,7045,2,KI
8083,7114,0,KI
4008,6096,1,KI
4026,7163,1,KI
6095,6046,2,KI
6086,7163,2,KI
6086,6094,2,KI
6053,6029,2,KI
4035,6068,3,KI
4008,7064,2,KI
4008,6025,1,KI
6096,7128,0,KI
7138,5064,1,KI
5118,6092,0,KI
4035,7045,3,KI
6088,6068,3,KI
7163,6092,0,KI
5064,6094,0,KI
4035,6025,2,KI
6086,6088,0,KI
7116,7114,2,KI
6046,7060,1,KI
7136,7153,0,KI
5087,5118,3,KI
5087,6046,2,KI
6029,5118,0,KI
5087,7064,3,KI
6096,7064,1,KI
6095,7114,1,KI
7114,5118,1,KI
6095,7153,2,KI
7114,7064,1,KI
4008,6086,1,KI
7138,7136,0,KI
6086,7136,2,KI
6094,6053,0,KI
6096,7153,0,KI
7128,7060,0,KI
7116,6095,1,KI
5064,7136,0,KI
6046,4008,0,KI
4008,7153,2,KI
4035,7064,3,KI
6096,7060,2,KI
7128,7163,0,KI
7128,5118,0,KI
6053,6092,1,KI
6025,6094,1,KI
7136,6092,0,KI
7116,7138,2,KI
8083,7153,0,KI
6068,7045,1,KI
6096,6029,2,KI
7109,6029,1,KI
7116,5118,3,KI
6062,4008,0,KI
7116,6088,2,KI
6088,7153,2,KI
6096,7045,3,KI
4026,6025,1,KI
7128,6092,0,KI
7109,7060,1,KI
4035,6095,2,KI
6088,7060,3,KI
6025,7109,0,KI
6094,7109,0,KI
6062,6068,1,KI
6095,7136,3,KI
5087,5064,3,KI
4035,6046,3,KI
7109,7153,0,KI
6068,5118,1,KI
5087,6068,3,KI
