"question_id","Mean","Median","Mode","SD","direction_pct","complete_time_median","complete_time_sd","question_type","average_new_expert"
"9-q9",-0.4,0,0,1.65,30,4.5,10.09,"hard",0
"9-q2",-1,-1,-1,1.56,90,6.5,7.18,"easy",-1.4
"8-q9",0.4,1,1,0.97,60,6,6.9,"hard",-0.8
"10-q9",-0.2,-0.5,-1,1.4,50,8.5,7.84,"hard",0
"5-q7",-2.1,-2,-3,0.88,100,9.5,7.47,"easy",-2
"7-q5",0.4,0.5,1,1.78,50,12,8.52,"hard",-0.4
"3-q9",-0.2,0,0,2.15,40,6.5,4.51,"hard",-0.4
"8-q8",0.4,-1,3,2.27,60,6.5,6.29,"easy",-0.6
"0-q2",-1,-1.5,-2,1.83,60,9,6.69,"easy",-1.4
"0-q8",0.1,0,0,1.66,40,9,6.69,"hard",-0.2
"5-q1",-1.3,-1.5,-3,1.57,70,7.5,6.69,"hard",0.8
"10-q8",2,3,3,1.41,90,8.5,7.84,"hard",0.4
"4-q5",0.9,0.5,3,2.02,50,11.5,6.29,"hard",0.6
"2-q3",1.5,1,3,1.35,70,10,8.84,"easy",0.8
"4-q10",1.8,3,3,2.53,80,11.5,6.29,"easy",2.8
"6-q6",-1,-1.5,-2,1.76,80,17.5,7.57,"easy",-1.6
"2-q6",2.1,3,3,1.66,90,10,8.84,"easy",3
"0-q9",-1,-2,-2,2.21,80,7,5.56,"easy",-1.2
"9-q1",-0.5,-2,-2,2.46,70,7.5,8.17,"easy",-1.2
"10-q5",0.3,0,0,1.16,30,8.5,7.84,"hard",0.2
"2-q2",1.6,2,3,1.9,90,10,8.84,"easy",2.2
"4-q6",0.8,1,1,1.48,60,9.5,8.12,"hard",0.4
"9-q7",1.9,3,3,1.66,90,6.5,7.18,"hard",0
"7-q10",0.3,0,0,2,40,14.5,7.76,"easy",1.2
"4-q5",1.4,1,0,1.43,60,6.5,8.96,"hard",0.6
"2-q4",0.1,0,0,1.29,20,7,6.85,"hard",-1
"1-q9",1,0.5,0,1.49,50,5.5,4.88,"hard",0
"8-q2",2.5,3,3,1.08,90,6.5,6.29,"easy",1
"0-q10",-2.1,-3,-3,1.45,80,6,7.75,"easy",-3
"9-q4",-0.9,-2,-3,2.38,70,4.5,10.09,"easy",-2.8
"1-q6",0.9,0.5,3,1.6,50,9,8.45,"easy",1.6
"0-q1",-1.2,-1.5,-2,1.62,90,4.5,4.57,"easy",-2.2
"3-q8",-1.4,-2.5,-3,2.41,80,9,7.2,"easy",-1.8
"5-q8",2.4,3,3,0.97,100,7.5,6.69,"easy",0.8
"8-q7",1.5,1,3,1.43,80,6.5,6.29,"hard",0
"7-q1",-0.8,-2,-2,2.25,60,12,8.52,"hard",-0.2
"1-q7",-2.3,-3,-3,1.89,90,5.5,4.88,"easy",-2
"0-q6",3,3,3,0,100,7,5.56,"easy",3
"9-q5",-2.5,-3,-3,0.71,100,7,8.12,"easy",-3
"0-q2",-0.9,-1,-2,1.66,70,4.5,4.57,"easy",-1.4
"1-q10",-2.1,-3,-3,1.85,90,9,8.45,"easy",-3
"9-q1",-0.4,-1.5,3,2.5,60,7,8.12,"easy",-1.2
"4-q5",-0.2,0,0,1.81,30,14.5,8.19,"hard",0.6
"4-q8",0.6,0,0,1.43,40,6.5,8.96,"easy",1
"0-q1",-0.4,0,0,2.17,40,6,7.75,"easy",-2.2
"2-q2",2.5,3,3,1.58,90,13.5,8.76,"easy",2.2
"10-q1",-1.5,-2,-3,1.96,70,10,8.45,"easy",-1
"7-q5",1.6,3,3,1.84,60,14.5,7.76,"hard",-0.4
"5-q7",-2.1,-2.5,-3,1.29,90,6.5,6.61,"easy",-2
"7-q8",0.4,1,1,0.84,60,9.5,8.34,"hard",0.4
"2-q7",-0.8,-1,0,1.69,60,7,6.85,"hard",0
"7-q5",1.6,2,3,1.58,70,9.5,8.34,"hard",-0.4
"8-q10",-1.4,-1,-1,1.07,80,5.5,5.95,"hard",0.8
"0-q8",-0.1,-0.5,-1,1.45,50,6,7.75,"hard",-0.2
"4-q5",0,0,0,1.33,30,9.5,8.12,"hard",0.6
"10-q9",-0.2,0,0,1.48,30,5,7.35,"hard",0
"3-q4",1.6,2,3,1.71,80,9,7.2,"hard",0.4
"1-q2",-2.1,-3,-3,1.85,90,5.5,4.88,"easy",-2.6
"5-q5",0.9,1,1,1.29,60,6.5,6.61,"hard",-0.4
"5-q1",-1,-1.5,-2,1.89,70,9.5,7.47,"hard",0.8
"1-q9",1,1,1,1.25,70,9.5,9.67,"hard",0
"5-q2",-2.6,-3,-3,0.7,100,9.5,7.47,"easy",-1.8
"0-q4",0.1,0.5,3,2.47,50,4.5,4.57,"hard",-1
"6-q7",1.5,2,3,1.78,70,4.5,3.17,"easy",0.4
"6-q2",2.1,3,3,1.2,90,9.5,6.14,"easy",2.4
"0-q2",-1.6,-1.5,-3,1.35,70,6,7.75,"easy",-1.4
"5-q2",-1.2,-2,-3,2.39,70,6.5,6.61,"easy",-1.8
"9-q10",1.5,1,3,1.35,70,7.5,8.17,"easy",0.6
"3-q4",1.4,1,3,1.51,70,10,7.51,"hard",0.4
"10-q4",0.4,0.5,-1,1.71,50,5,7.35,"hard",0.2
"7-q9",2.6,3,3,0.84,100,9.5,8.34,"easy",1.8
"7-q1",-1.3,-1,-1,1.06,90,9.5,8.34,"hard",-0.2
"3-q8",-2.6,-3,-3,0.7,100,6,11.16,"easy",-1.8
"6-q7",2.3,3,3,1.16,90,9.5,6.14,"easy",0.4
"6-q6",-0.9,-1,-1,1.52,80,4.5,3.17,"easy",-1.6
"10-q7",1.3,1,1,1.25,70,5,7.35,"hard",-0.2
"0-q6",2.3,3,3,1.64,90,9,6.69,"easy",3
"0-q4",0.5,0.5,3,2.42,50,7,5.56,"hard",-1
"3-q3",0.1,0,0,0.88,30,6,11.16,"easy",0.6
"3-q3",0.5,0,0,1.72,40,6.5,4.51,"easy",0.6
"1-q2",-1.5,-2.5,-3,2.42,80,6,7.97,"easy",-2.6
"7-q2",-1,-1.5,-3,2.26,80,9.5,8.34,"hard",-0.8
"2-q6",3,3,3,0,100,7,6.85,"easy",3
"8-q7",1.2,1,1,1.55,80,5.5,5.95,"hard",0
"3-q9",1,0,0,1.41,40,10,7.51,"hard",-0.4
"10-q5",0.2,0,0,1.81,30,15,7.71,"hard",0.2
"7-q10",0.9,1,3,1.85,60,12,8.52,"easy",1.2
"8-q4",1.5,2,3,1.72,70,5.5,5.95,"easy",1.6
"2-q7",-0.6,0,0,1.35,30,10,8.84,"hard",0
"7-q6",-0.8,-1.5,-2,2.2,70,14.5,7.76,"easy",-1.8
"9-q7",1.6,3,3,1.96,70,7,8.12,"hard",0
"7-q6",-0.5,-2,-2,2.55,60,12,8.52,"easy",-1.8
"5-q6",-2.7,-3,-3,0.67,100,9.5,7.47,"easy",-2.4
"3-q2",0.9,1,3,2.18,60,6.5,4.51,"easy",0.6
"9-q6",0.1,0,3,1.97,40,4.5,10.09,"hard",0.2
"2-q10",1.6,1,1,1.35,90,10,8.84,"easy",1
"0-q4",-0.2,0,0,1.14,20,6,7.75,"hard",-1
"4-q6",0.8,1,1,1.69,70,14.5,8.19,"hard",0.4
"3-q10",-0.7,-0.5,0,0.82,50,9,7.2,"hard",0
"10-q7",1.7,2,3,1.49,80,10,8.45,"hard",-0.2
"10-q8",1.4,2,3,2.01,80,15,7.71,"hard",0.4
"2-q3",1.3,1,1,1.25,70,6,8.38,"easy",0.8
"2-q9",-1.1,-1,-1,1.6,90,6,8.38,"hard",-0.6
"1-q10",-2.3,-3,-3,1.89,90,6,7.97,"easy",-3
"2-q7",-1,-1,-1,0.82,70,6,8.38,"hard",0
"2-q9",-1.2,-1,-1,0.79,90,7,6.85,"hard",-0.6
"10-q3",2.5,3,3,1.58,90,8.5,7.84,"easy",1.6
"0-q10",-2.8,-3,-3,0.42,100,7,5.56,"easy",-3
"8-q9",0.9,1,1,1.29,60,9.5,5.76,"hard",-0.8
"6-q3",0.4,0,0,1.51,20,9.5,6.14,"hard",0
"10-q3",2.5,3,3,1.58,90,15,7.71,"easy",1.6
"0-q7",-0.9,-2,-3,2.51,60,7,5.56,"easy",-1.4
"10-q8",0.5,1,1,2.07,70,5,7.35,"hard",0.4
"8-q7",1.2,1,1,1.55,80,6,6.9,"hard",0
"1-q5",-1.8,-2,-3,1.03,90,9.5,9.67,"easy",-1.2
"2-q6",2.4,3,3,1.9,90,6,8.38,"easy",3
"3-q1",0.3,0,0,1.77,40,9,7.2,"hard",-0.6
"4-q4",-2.7,-3,-3,0.67,100,6.5,8.96,"easy",-3
"6-q3",1.2,1,1,1.4,70,4.5,3.17,"hard",0
"9-q9",-0.7,-0.5,0,0.95,50,6.5,7.18,"hard",0
